Grupo,Universidad,Sigla,Tipo/Pais,Sitio oficial,Banner (estudio),Politica de cookies,Confirmado,CMP detectada,Observaciones
"Extranjera,""Tsinghua University"",""Tsinghua"",""China"",""https://www.tsinghua.edu.cn/en/"",""No detectable"",""No"","""","""","""""
"Extranjera,""Peking University"",""Peking"",""China"",""https://english.pku.edu.cn"",""No detectable"",""No"","""","""","""""
"Extranjera,""Johns Hopkins University"",""Johns Hopkins"",""EE.UU."",""https://www.jhu.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""Columbia University"",""Columbia"",""EE.UU."",""https://www.columbia.edu"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""University of Toronto"",""Toronto"",""Canadá"",""https://www.utoronto.ca"",""No detectable"",""No"","""","""","""""
"Extranjera,""University of California, Los Angeles"",""UCLA"",""EE.UU."",""https://www.ucla.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""National University of Singapore"",""NUS"",""Singapur · Asia (otros)"",""https://nus.edu.sg"",""No detectable"",""No"","""","""","""""
"Extranjera,""The University of Tokyo"",""U Tokyo"",""Japón · Asia (otros)"",""https://www.u-tokyo.ac.jp/en/"",""No detectable"",""No"","""","""","""""
"Extranjera,""Technical University of Munich"",""TUM"",""Alemania · Europa cont."",""https://www.tum.de/en/"",""No detectable"",""No"","""","""","""""
"Extranjera,""The University of Melbourne"",""Melbourne"",""Australia"",""https://www.unimelb.edu.au"",""Sí"",""No"","""","""","""""
"Extranjera,""University of Edinburgh"",""Edinburgh"",""Reino Unido"",""https://www.ed.ac.uk"",""No detectable"",""No"","""","""","""""
"Extranjera,""EPFL"",""EPFL"",""Suiza · Europa cont."",""https://www.epfl.ch/en/"",""No detectable"",""No"","""","""","""""
"Extranjera,""University of Michigan-Ann Arbor"",""Michigan"",""EE.UU."",""https://umich.edu"",""Sí"",""No"","""","""","""""
"Extranjera,""Northwestern University"",""Northwestern"",""EE.UU."",""https://www.northwestern.edu"",""Sí"",""Sí"","""","""","""""
"Extranjera,""Fudan University"",""Fudan"",""China"",""https://www.fudan.edu.cn/en/"",""No detectable"",""No"","""","""","""""
"Extranjera,""PSL University"",""PSL"",""Francia · Europa cont."",""https://www.psl.eu/en"",""Sí"",""Sí"","""","""","""""
"Extranjera,""University of Hong Kong"",""HKU"",""Hong Kong"",""https://www.hku.hk"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""Zhejiang University"",""Zhejiang"",""China"",""https://www.zju.edu.cn/english/"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""New York University"",""NYU"",""EE.UU."",""https://www.nyu.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""Shanghai Jiao Tong University"",""SJTU"",""China"",""https://www.sjtu.edu.cn"",""No detectable"",""No"","""","""","""""
"Extranjera,""King's College London"",""KCL"",""Reino Unido"",""https://www.kcl.ac.uk"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""University of California, San Diego"",""UCSD"",""EE.UU."",""https://www.ucsd.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""LMU Munich"",""LMU"",""Alemania · Europa cont."",""https://www.lmu.de"",""No detectable"",""No"","""","""","""""
"Extranjera,""Duke University"",""Duke"",""EE.UU."",""https://www.duke.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""University of Manchester"",""Manchester"",""Reino Unido"",""https://www.manchester.ac.uk"",""No detectable"",""No"","""","""","""""
"Extranjera,""University of British Columbia"",""UBC"",""Canadá"",""https://www.ubc.ca"",""No detectable"",""No"","""","""","""""
"Extranjera,""The University of Sydney"",""Sydney"",""Australia"",""https://www.sydney.edu.au"",""No detectable"",""No"","""","""","""""
"Extranjera,""Université Paris-Saclay"",""Paris-Saclay"",""Francia · Europa cont."",""https://www.universite-paris-saclay.fr/en"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""Kyoto University"",""Kyoto"",""Japón · Asia (otros)"",""https://www.kyoto-u.ac.jp/en"",""No detectable"",""No"","""","""","""""
"Extranjera,""University of Illinois Urbana-Champaign"",""Illinois"",""EE.UU."",""https://illinois.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""The University of Texas at Austin"",""UT Austin"",""EE.UU."",""https://www.utexas.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""University of Washington"",""UW"",""EE.UU."",""https://www.washington.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""Nanyang Technological University"",""NTU"",""Singapur · Asia (otros)"",""https://www.ntu.edu.sg"",""No detectable"",""No"","""","""","""""
"Extranjera,""McGill University"",""McGill"",""Canadá"",""https://www.mcgill.ca"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""The Chinese University of Hong Kong"",""CUHK"",""Hong Kong"",""https://www.cuhk.edu.hk/english/index.html"",""No detectable"",""No"","""","""","""""
"Extranjera,""Carnegie Mellon University"",""CMU"",""EE.UU."",""https://www.cmu.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""University of Wisconsin-Madison"",""Wisconsin"",""EE.UU."",""https://www.wisc.edu"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""University of Science and Technology of China"",""USTC"",""China"",""https://en.ustc.edu.cn"",""No detectable"",""No"","""","""","""""
"Extranjera,""Washington University in St. Louis"",""WUSTL"",""EE.UU."",""https://washu.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""Monash University"",""Monash"",""Australia"",""https://www.monash.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""Seoul National University"",""SNU"",""Corea del Sur · Asia (otros)"",""https://en.snu.ac.kr"",""No detectable"",""No"","""","""","""""
"Extranjera,""Heidelberg University"",""Heidelberg"",""Alemania · Europa cont."",""https://www.uni-heidelberg.de/en"",""No detectable"",""No"","""","""","""""
"Extranjera,""Hong Kong University of Science and Technology"",""HKUST"",""Hong Kong"",""https://hkust.edu.hk/"",""No detectable"",""No"","""","""","""""
"Extranjera,""Karolinska Institutet"",""Karolinska"",""Suecia · Europa cont."",""https://ki.se/en"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""Delft University of Technology"",""TU Delft"",""Países Bajos · Europa cont."",""https://www.tudelft.nl/en/"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""Australian National University"",""ANU"",""Australia"",""https://www.anu.edu.au/"",""No detectable"",""No"","""","""","""""
"Extranjera,""KU Leuven"",""KU Leuven"",""Bélgica · Europa cont."",""https://www.kuleuven.be/english/"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""The University of Queensland"",""Queensland"",""Australia"",""https://www.uq.edu.au/"",""No detectable"",""No"","""","""","""""
